Club,Year,Player,Player ID,Team ID
arsenal,2015,jack jebb,239280,arsenal2015
arsenal,2015,carl jenkinson,236414,arsenal2015
arsenal,2015,glen kamara,248267,arsenal2015
arsenal,2015,austin lipman,241527,arsenal2015
arsenal,2015,matt macey,239234,arsenal2015
arsenal,2015,ignasi miquel,237075,arsenal2015
arsenal,2015,ryo miyaichi,238226,arsenal2015
arsenal,2015,tafari moore,257021,arsenal2015
arsenal,2015,kristoffer olsson,241303,arsenal2015
arsenal,2015,brandon ormonde ottewill,249024,arsenal2015
arsenal,2015,julio pleguezuelo,260276,arsenal2015
arsenal,2015,tyrell robinson,256057,arsenal2015
arsenal,2015,renny smith,249808,arsenal2015
arsenal,2015,jon toral,242656,arsenal2015
arsenal,2015,josh vickers,243093,arsenal2015
arsenal,2015,wellington silva,249869,arsenal2015
arsenal,2015,chris willock,251083,arsenal2015
arsenal,2016,mikel arteta,7438,arsenal2016
arsenal,2016,héctor bellerín,239965,arsenal2016
arsenal,2016,ismaël bennacer,250213,arsenal2016
