Club,Year,Player,Player ID,Team ID,Appearances
arsenal,1997,Paul Dickov,1127,arsenal_1997,0
arsenal,1997,Lee Dixon,14,arsenal_1997,31
arsenal,1997,Rémi Garde,22759,arsenal_1997,7
arsenal,1997,Lee Harper,4107,arsenal_1997,1
arsenal,1997,John Hartson,599,arsenal_1997,14
arsenal,1997,Glenn Helder,37961,arsenal_1997,0
arsenal,1997,David Hillier,4377,arsenal_1997,0
arsenal,1997,Stephen Hughes,2319,arsenal_1997,9
arsenal,1997,Martin Keown,16,arsenal_1997,33
arsenal,1997,Andy Linighan,1727,arsenal_1997,10
arsenal,1997,John Lukic,13,arsenal_1997,15
arsenal,1997,Scott Marshall,4327,arsenal_1997,6
arsenal,1997,Gavin McGowan,4481,arsenal_1997,1
arsenal,1997,Paul Merson,57,arsenal_1997,32
arsenal,1997,Steve Morrow,4117,arsenal_1997,5
arsenal,1997,Ray Parlour,25,arsenal_1997,17
arsenal,1997,David Platt,4061,arsenal_1997,27
arsenal,1997,Matthew Rose,4125,arsenal_1997,1
arsenal,1997,David Seaman,5,arsenal_1997,22
arsenal,1997,Ian Selley,4266,arsenal_1997,0
arsenal,1997,Paul Shaw,3998,arsenal_1997,1
arsenal,1997,Patrick Vieira,23,arsenal_1997,30
arsenal,1997,Nigel Winterburn,20,arsenal_1997,38
arsenal,1997,Ian Wright,2700,arsenal_1997,30
arsenal,1998,Tony Adams,31,arsenal_1998,26
arsenal,1998,Nicolas Anelka,7061,arsenal_1998,16
arsenal,1998,Dennis Bergkamp,7,arsenal_1998,28
arsenal,1998,Luis Boa Morte,440,arsenal_1998,4
arsenal,1998,Steve Bould,484,arsenal_1998,21
arsenal,1998,Lee Dixon,14,arsenal_1998,26
arsenal,1998,Rémi Garde,22759,arsenal_1998,6
arsenal,1998,Gilles Grimandi,10,arsenal_1998,16
arsenal,1998,Stephen Hughes,2319,arsenal_1998,7
arsenal,1998,Martin Keown,16,arsenal_1998,18
arsenal,1998,Alex Manninger,1,arsenal_1998,7
arsenal,1998,Scott Marshall,4327,arsenal_1998,1
arsenal,1998,Gavin McGowan,4481,arsenal_1998,0
